Title,Year,Type_Long,Type,Link,En_mi_web
"Internal R packages for Open Science in Agrometeorology.Yanina Bellini Saibene, Natalia Gattinoni, Paola Corrales, Elio Campitelli y Gabriel Rodriguez. FOSDEM 2022.",2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
"Introducing rOpenSci new Community Manager, Yanina Bellini Saibene",2022,Blog post,Blog post,,Si
La Guía del Viajero al Aprendizaje Automático Responsable,2022,Translations,Translations,https://yabellini.netlify.app/project/rml_es/,Si
Leyendo muchos archivos markdown de varias carpetas y extrayendo datos de su YAML,2022,Blog post,Blog post,,Si
"Mapas conceptuales, una herramienta de múltiples formas y usos",2022,Blog post,Blog post,,Si
"MetaDocencia: enseñando a enseñar estadística y ciencia de datos online : Laura Ación, Yanina Bellini Saibene, Mine Dogucu, Nicolas Palopoli, Elio Campitelli, Paola Corrales, Patricia Loto",2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,http://iase-web.org/icots/11/proceedings/pdfs/ICOTS11_285_ACIN.pdf?1669865550,
Metadocencia. Nurturing educators in Spanish-speaking research communities,2022,Blog post,Blog post,,Si
MiR Community Highlights. Yanina Bellini Saibene.,2022,Blog post,Blog post,,Si
Notas adhesivas cuando enseñas (on-line),2022,Blog post,Blog post,,Si
Organizando una clase práctica online,2022,Blog post,Blog post,,Si
Organizing a practical class online,2022,Blog post,Blog post,,Si
"Organizing inclusive conferences with the community (Rocio Joo, Andrea Sánchez-Tapia, Sara Mortara, Yanina Bellini Saibene, Heather Turner, Dorothea Hug Peter, Natalia Soledad Morandeira, Matt Bannert, Batool Almazrouq, Elizabeth Hare, Laura Ación, Juan Pablo Narváez-Gómez, Marcela Alfaro Córdoba, Federico Marini, Rita Giordano, Silvia Canelón,  Anicet Ebou, Adithi Upadhya, Joselyn Chávez and Janani Ravi). LatinR 2022.",2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2022/blob/main/papers/LatinR2022_propuesta_5946.pdf,
Organizing Tutorials,2022,Blog post,Blog post,,Si
"Presentamos a la nueva Community Manager de rOpenSci, Yanina Bellini Saibene",2022,Blog post,Blog post,,Si
Quinto encuentro del Club de lectura. La pedagogía del contenido.,2022,Blog post,Blog post,,Si
Reunión de sprint por chat,2022,Blog post,Blog post,,Si
Revisiting my 2022 to-don't list,2022,Blog post,Blog post,,Si
Scenario analysis. What to do when thing do not go so well in the classroom?,2022,Blog post,Blog post,,Si
"Septimo encuentro del Club de lectura. Comunidad, comunicación y reuniones",2022,Blog post,Blog post,,Si
Sexto encuentro del Club de lectura. Enseñando en persona y on-line.,2022,Blog post,Blog post,,Si
"Sistema de consulta de datos e información agrometeorológica y agroclimática para la provincia de La Pampa. Juan Pablo Ferrandez, Natalia Gatinoni, Romina Mezher, María José Pizarro, Lorena Verónica Carreño, Rosario Olguín Paez, María Laura Belmonte, Yanina Bellini Saibene. LatinR 2022.",2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2022/blob/main/papers/LatinR2022_propuesta_8859.pdf,
Sticky notes when teaching (on-line),2022,Blog post,Blog post,,Si
Tercer encuentro del Club de Lectura. Arquitectura cognitiva y aprendizaje Individual,2022,Blog post,Blog post,,Si
The Call for Tutorials Proposal,2022,Blog post,Blog post,,Si
Traducción de los contenidos de MetaDocencia,2022,Blog post,Blog post,,Si
Un cambio de imagen y de estrategia de comunicación en Metadocencia,2022,Blog post,Blog post,,Si
Un club de lectura para seguir aprendiendo a enseñar,2022,Blog post,Blog post,,Si
Un mapa de mis lectores,2022,Blog post,Blog post,,Si
Plans for the year,2024,Blog post,Blog post,,Si
Usando Apache Arrow para analizar el padron electoral argentino del 2011.,2024,Blog post,Blog post,,Si
Zenodo,2024,Blog post,Blog post,,Si
Máquina nocional,2024,Blog post,Blog post,,Si
Cooperative,2024,Blog post,Blog post,,Si
