"Nombre","Institucion.Evento","Ciudad","Lugar","Formato","Fecha","anio","Tipo","Cantidad","Rol","Links"
"Primeros pasos con GIT",,,,,"May 2020",2020,"Talk",,"Speaker","https://www.meetup.com/es/rladies-santa-rosa/events/270668823/"
"Aprendé a hacer ejercicios interactivos de R con learnr.",,,,,"May 2021",2021,"Event Organization",,"Organizer","https://www.meetup.com/es/renbaires/events/277921094/"
"Geotecnologías aplicadas al sector agropecuario",,,,"Online","February 2021",2021,"Talk",,"Speaker","https://youtu.be/k3rS2vIZaLc"
"Taller de Imagenes satelitales para uso agropecuario",,,,"Online","November 2020",2020,"Talk",,"Speaker","https://inta.gob.ar/eventos/uso-y-analisis-de-imagenes-satelitales-en-el-agro"
"R-Ladies+ Invita a useR!",,,,,"April 2021",2021,"Event Organization",,"Organizer","https://www.meetup.com/es/rladies-santa-rosa/events/277740852/"
"On programming, teaching, and building interactive tutorials with learnr",,,,"Online","January 2021",2021,"Talk",,"Speaker","https://www.rstudio.com/resources/rstudioglobal-2021/on-programming-teaching-and-building-interactive-tutorials-with-learnr/"
"Intro al ABC para enseñar on-line",,,,"Online","May 2020",2020,"Event Organization",,"Organizer","https://www.metadocencia.org/curso/intro-abc-online/"
"CSV,Conf",,,,"Online","April 2023",2023,"Event Organization",,"Organizer","https://csvconf.com/"
"Enseñar Tecnología en Comunidad",,,,,"June 2023",2023,"Event Organization",,"Organizer","https://yabellini.netlify.app/courses/t3es/"
"rOpenSci Mentoring & training program for Scientific Open Source Champions. Kickoff meeting 1.",,,,,"January 2023",2023,"Event Organization",,"Organizer","https://yabellini.netlify.app/talk/2023_kickoff_meting_1/"
"rOpenSci Mentoring & training program for Scientific Open Source Champions. Kickoff Meeting 2",,,,,"January 2023",2023,"Event Organization",,"Organizer","https://yabellini.netlify.app/talk/2023_kickoff_meting_2/"
"Nerdearla",,,,,"July 2023",2023,"Event Organization",,"Organizer","https://nerdear.la/"
"Developing Software Together (training for champions program applicants)",,,,,"May 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/2023-05-19-developing-software-together/"
"How to contribute to base R (champions training)",,,,,"May 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/2023-05-18-how-to-contribute-base-r/"
"How rOpenSci performs peer-review",,,,,"April 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/2023-04-04-how-ropensci-review/"
"Package Development: Not Rocket Science (champions training)",,,,,"March 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/2023-03-23-pkg-dev-not-rocket-science-champions/"
"Package Development: the Mechanics (champions training)",,,,,"March 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/2023-03-14-pkg-dev-mechanics-champions/"
"rOpenSci Champions Program. Mentorship Training and Orientation",,,,,"February 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/2023-03-01-mentor-orientation/"
"Let's Talk Community with Yanina Bellini Saibene",,,,,"August 2023",2023,"Video/Podcast",,"Participant","https://blog.dataumbrella.org/yanina-community"
"LatinR 2023| Conferencia Latinoamericana sobre Uso de R en Investigación + Desarrollo",,,,"Online","October 2023",2023,"Event Organization",,"Organizer","https://latin-r.com/"
"Nerdearla Argentina y Mexico",,,,,"October 2024",2024,"Event Organization",,"Organizer","https://nerdear.la/en/"
"Social Coworking and Office Hours - Champions Program Application Clinic",,,,,"August 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/coworking-2023-08-23/"
"Social Coworking and Office Hours - Champions Program Application Clinic",,,,,"August 2023",2023,"Event Organization",,"Organizer","https://ropensci.org/events/coworking-2023-08-17/"
"Charla R Consortium",,,,,"October 2023",2023,"Talk",,"Speaker","https://yabellini.netlify.app/talk/2023_latinr_rconsortium/"
"rOpenSci News Digest, November 2023",,,,,"November 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/11/24/news-november-2023/"
"rOpenSci News Digest, October 2023",,,,,"October 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/10/20/news-october-2023/"
"rOpenSci News Digest, September 2023",,,,,"September 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/09/22/news-september-2023/"
"rOpenSci News Digest, August 2023",,,,,"August 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/08/25/news-august-2023/"
"rOpenSci News Digest, July 2023",,,,,"July 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/07/21/news-july-2023/"
"rOpenSci News Digest, June 2023",,,,,"June 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/06/22/ropensci-news-digest-june-2023/"
"rOpenSci News Digest, May 2023",,,,,"May 2023",2023,"Other",,"Other","https://ropensci.org/blog/2023/05/19/ropensci-news-digest-may-2023/"
